-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2018 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
18.25,103.25,2018,1,10.35,81.73,0.01,97.39,2.05,2.98,1.28,1.7,67.49,3.61,5.09,2.1,2.99,68.18
18.25,103.75,2018,1,10.38,81.91,0.02,98.12,2.05,2.97,1.35,1.62,53.84,3.68,4.89,2.2,2.69,54.41
18.25,104.25,2018,1,9.99,82.61,0.04,96.52,1.82,2.48,1.4,1.09,51.14,3.47,4.24,2.62,1.62,52.43
18.25,104.75,2018,1,9.69,85.41,0.05,94.85,1.61,2.19,1.2,0.99,47.06,3.14,3.9,2.38,1.53,48.71
18.25,105.25,2018,1,10.04,88.86,0.13,95.45,1.84,2.57,1.23,1.35,61.04,3.26,4.06,2.31,1.75,65.31
18.25,105.75,2018,1,11.02,90.12,0.32,98.32,2.62,3.53,1.71,1.82,77.61,3.9,4.68,2.75,1.92,84.07
18.25,106.25,2018,1,12.02,84.97,0.62,101.07,3.7,4.38,2.7,1.68,46.28,4.67,5.52,3.53,1.99,46.59
18.25,106.75,2018,1,12.34,80.44,0.43,101.51,4.36,5.29,3.3,1.98,53.51,4.81,5.85,3.66,2.19,54.44
18.75,103.25,2018,1,10.12,83.84,0.04,93.34,1.19,1.59,0.76,0.84,88.81,2.22,2.82,1.31,1.51,89.12
18.75,103.75,2018,1,9.95,83.56,0.06,94.26,1.21,1.57,0.81,0.76,65.78,2.36,2.86,1.59,1.27,64.75
18.75,104.25,2018,1,9.51,84.84,0.09,94.01,1.22,1.56,0.93,0.63,54.71,2.48,3.0,1.94,1.06,55.15
18.75,104.75,2018,1,9.45,87.99,0.12,95.06,1.28,1.76,0.94,0.82,79.63,2.44,3.01,1.78,1.23,80.58
18.75,105.25,2018,1,10.04,89.2,0.15,97.9,2.04,2.75,1.37,1.38,107.01,3.14,3.77,2.1,1.66,113.31
18.75,105.75,2018,1,11.06,86.91,0.23,101.16,3.4,4.29,2.28,2.01,105.91,4.42,5.15,2.97,2.17,117.46
18.75,106.25,2018,1,11.84,81.78,0.39,101.65,4.57,5.27,3.2,2.07,48.03,5.06,5.98,3.52,2.46,48.94
18.75,106.75,2018,1,12.08,79.93,0.29,101.68,4.86,5.95,3.37,2.58,52.86,5.19,6.42,3.57,2.86,53.91
19.25,103.25,2018,1,10.02,85.7,0.09,89.97,0.81,1.24,0.43,0.81,116.87,1.52,2.12,0.81,1.31,117.69
19.25,103.75,2018,1,9.55,85.75,0.14,90.41,0.83,1.05,0.59,0.47,87.22,1.62,2.12,1.15,0.97,86.44
19.25,104.25,2018,1,9.26,86.82,0.19,92.34,0.81,1.13,0.51,0.62,90.59,1.65,2.21,1.0,1.22,90.74
19.25,104.75,2018,1,9.35,88.31,0.19,95.45,1.07,1.52,0.75,0.77,134.56,2.08,2.68,1.41,1.27,135.26
19.25,105.25,2018,1,9.88,87.79,0.18,98.75,1.92,2.57,1.4,1.17,129.96,3.0,3.69,2.18,1.51,145.08
19.25,105.75,2018,1,10.68,84.78,0.17,101.22,3.24,4.03,2.33,1.71,74.91,4.14,4.91,3.0,1.92,104.31
19.25,106.25,2018,1,11.38,80.78,0.21,101.71,4.49,5.09,3.19,1.9,54.81,4.89,5.57,3.48,2.09,56.03
19.25,106.75,2018,1,11.68,80.23,0.15,101.72,5.0,6.02,3.57,2.45,57.24,5.34,6.5,3.79,2.71,58.31
19.75,103.25,2018,1,10.03,86.7,0.16,89.64,0.75,1.28,0.24,1.04,125.36,1.44,2.51,0.49,2.02,126.26
19.75,103.75,2018,1,9.4,87.5,0.24,89.15,0.77,1.16,0.52,0.64,105.31,1.49,2.29,0.94,1.34,107.53
19.75,104.25,2018,1,9.16,88.08,0.29,91.16,0.71,1.14,0.25,0.89,127.54,1.42,2.16,0.41,1.75,127.88
19.75,104.75,2018,1,9.11,88.59,0.26,94.02,0.96,1.46,0.35,1.11,153.27,1.81,2.67,0.74,1.93,153.76
19.75,105.25,2018,1,9.53,87.12,0.21,97.71,1.56,2.27,0.81,1.46,137.07,2.43,3.48,1.34,2.15,149.6
19.75,105.75,2018,1,10.26,83.79,0.14,101.04,2.51,3.4,1.64,1.76,87.11,3.24,4.3,2.11,2.2,111.38
19.75,106.25,2018,1,10.77,80.84,0.11,101.71,3.82,4.35,2.96,1.39,65.19,4.35,4.86,3.45,1.41,66.66
19.75,106.75,2018,1,11.14,80.39,0.06,101.75,4.73,5.58,3.6,1.98,64.59,5.15,6.07,3.95,2.13,65.73
20.25,103.25,2018,1,9.93,87.71,0.25,90.48,0.75,1.32,0.26,1.06,125.35,1.49,2.75,0.44,2.32,124.99
20.25,103.75,2018,1,9.37,88.69,0.35,89.36,0.76,1.17,0.48,0.69,113.88,1.52,2.39,0.86,1.53,117.72
20.25,104.25,2018,1,9.1,89.04,0.36,91.15,0.86,1.27,0.37,0.9,132.35,1.63,2.56,0.61,1.95,133.52
20.25,104.75,2018,1,9.05,88.52,0.31,93.96,1.07,1.66,0.27,1.4,151.12,1.82,2.91,0.54,2.37,151.62
20.25,105.25,2018,1,9.34,86.58,0.22,97.53,1.43,2.32,0.32,2.0,156.8,2.14,3.48,0.56,2.92,154.64
20.25,105.75,2018,1,9.84,83.74,0.13,100.75,2.01,3.11,0.81,2.3,136.82,2.71,4.15,1.01,3.14,132.25
20.25,106.25,2018,1,10.16,81.69,0.06,101.7,2.98,3.79,2.1,1.69,79.5,3.76,4.63,2.64,2.0,81.25
20.25,106.75,2018,1,10.48,80.16,0.03,101.75,4.21,4.95,3.28,1.68,74.08,4.75,5.5,3.78,1.71,75.4
18.25,103.25,2018,2,11.32,82.98,0.0,97.28,2.07,2.78,1.36,1.42,62.44,3.8,5.54,2.41,3.13,63.22
18.25,103.75,2018,2,11.54,83.16,0.01,97.99,2.01,2.72,1.35,1.38,52.81,3.71,5.5,2.28,3.22,54.09
